Family	Marker	Normalized Count	Hits	MarkerLength	ReadLength	HitSpace
NP_214776	NP_214776_TM_#01	0.0	0	10	100.0	69.0
NP_214776	NP_214776_TM_#02	0.0	0	8	100.0	75.0
NP_214776	NP_214776_TM_#03	0.0	0	13	100.0	60.0
NP_214776	NP_214776_TM_#04	0.0	0	8	100.0	75.0
NP_214776	NP_214776_TM_#05	0.0	0	14	100.0	57.0
NP_214776	NP_214776_TM_#06	0.0	0	12	100.0	63.0
NP_214776	NP_214776_TM_#07	0.0	0	18	100.0	45.0
NP_753952	NP_753952_TM_#01	12330.456226880393	1	300	100.0	811.0
P13246	P13246_TM_#01	0.0	0	13	100.0	60.0
P13246	P13246_TM_#02	0.0	0	11	100.0	66.0
P13246	P13246_TM_#03	0.0	0	47	100.0	52.0
P13246	P13246_TM_#04	0.0	0	61	100.0	94.0
P13246	P13246_TM_#05	0.0	0	44	100.0	43.0
P13246	P13246_TM_#06	0.0	0	28	100.0	15.0
P13246	P13246_TM_#07	0.0	0	53	100.0	70.0
P13246	P13246_TM_#08	0.0	0	8	100.0	75.0
P23181	P23181_TM_#01	0.0	0	37	100.0	22.000000000000014
P23181	P23181_TM_#02	0.0	0	17	100.0	48.0
P23181	P23181_TM_#03	0.0	0	11	100.0	66.0
P23181	P23181_TM_#04	0.0	0	11	100.0	66.0
P23181	P23181_TM_#05	0.0	0	11	100.0	66.0
P23181	P23181_TM_#06	0.0	0	29	100.0	12.0
P23181	P23181_TM_#07	0.0	0	32	100.0	7.000000000000014
P23181	P23181_TM_#08	0.0	0	12	100.0	63.0
Q49157	Q49157_TM_#01	0.0	0	15	100.0	54.0
Q49157	Q49157_TM_#02	0.0	0	84	100.0	163.0
YP_001068559	YP_001068559_TM_#01	0.0	0	39	100.0	28.000000000000014
YP_001068559	YP_001068559_TM_#02	0.0	0	61	100.0	94.0
YP_001068559	YP_001068559_TM_#03	0.0	0	35	100.0	16.000000000000014
YP_884847	YP_884847_TM_#01	0.0	0	15	100.0	54.0
YP_884847	YP_884847_TM_#02	0.0	0	11	100.0	66.0
YP_884847	YP_884847_TM_#03	0.0	0	27	100.0	18.0
YP_884847	YP_884847_TM_#04	0.0	0	85	100.0	166.0
ZP_02959935	ZP_02959935_TM_#01	0.0	0	178	100.0	445.0
gene_10886|GeneMark_hmm|34_aa|+|22053|22154	gene_10886|GeneMark_hmm|34_aa|+|22053|22154_JM_#01__[gene_10886|GeneMark_hmm|34_aa|+|22053|22154_w=1.000]	0.0	0	34	100.0	13.000000000000014
gene_10887|GeneMark_hmm|96_aa|-|22208|22495	gene_10887|GeneMark_hmm|96_aa|-|22208|22495_TM_#01	0.0	0	22	100.0	33.0
gene_10887|GeneMark_hmm|96_aa|-|22208|22495	gene_10887|GeneMark_hmm|96_aa|-|22208|22495_TM_#02	0.0	0	37	100.0	22.000000000000014
